,Title,Matched Model,Price,Location,Description,Link,Year,Brightness,ResResolution,Contrast,Technology,Audible Noise,Brightness_number,Resolution_width,Contrast_number
481,Beamer InFocus LP600,InFocus LP600,130,10117 Mitte,"Beamer InFocus LP600

inkl. Apapter und Kabel auf Scart, Chinch, VGA, DVI

Nur 143 Betriebsstunden",https://www.kleinanzeigen.de//s-anzeige/beamer-infocus-lp600/1936306120-175-3520,Jul 2004,"2,000 lumens",1024x768 (XGA),"1,000:1",2 cmDLP,"37, 35",2000,1024,1000.0
162,Beamer  LG BX30C,LG BX30C,120,12527 Köpenick,Beamer LG BX30C einen LCD Projektor mit XGA 1024 x 768 Auflösung. Wenig benutzt. Kabel und...,https://www.kleinanzeigen.de//s-anzeige/beamer-lg-bx30c/2589667156-175-3370,May 2012,"3,000 lumens",1024x768 (XGA),800:1,2 cm3LCD,"37, 34",3000,1024,800.0
268,Beamer Projektor NEC LT220  DLP mit original Tasche,NEC LT220,90,12103 Tempelhof,Der LT220 DLP Projektor von Nec hat 1800 Ansi-Lumen einen Kontrast von 500:1 und eine SVGA 800 x...,https://www.kleinanzeigen.de//s-anzeige/beamer-projektor-nec-lt220-dlp-mit-original-tasche/2565321102-175-3405,Nov 2002,"2,000 lumens",800x600 (SVGA),600:1,2 cmDLP,"32, 29",2000,800,600.0
94,Beamer NEC VT48 SVGA Projektor,NEC VT48,60,13469 Reinickendorf,"Biete meinen gebrauchten NEC Projektor an.
Er hat ganz leichte Gebrauchsspuren und an der...",https://www.kleinanzeigen.de//s-anzeige/beamer-nec-vt48-svga-projektor/2599344969-175-3456,Dec 2005,"1,600 lumens",800x600 (SVGA),600:1,2 cm3LCD,"33, 28",1600,800,600.0
147,Beamer NEC VT48,NEC VT48,59,13357 Gesundbrunnen,"Voll funktionstüchtiger Beamer von NEC

Modell: VT48
Farbe: weiß",https://www.kleinanzeigen.de//s-anzeige/beamer-nec-vt48/2591882097-175-26761,Dec 2005,"1,600 lumens",800x600 (SVGA),600:1,2 cm3LCD,"33, 28",1600,800,600.0
279,NEC Beamer VT48 keine Kratzer Neuwertig,NEC VT48,50,12685 Marzahn,"NEC Beamer VT48 keine Kratzer Neuwertig

Das Gerät produziert einen Fleck im Bild,
verkauf daher...",https://www.kleinanzeigen.de//s-anzeige/nec-beamer-vt48-keine-kratzer-neuwertig/2562211292-175-3384,Dec 2005,"1,600 lumens",800x600 (SVGA),600:1,2 cm3LCD,"33, 28",1600,800,600.0
39,Sanyo PLC-XU115 Beamer,Sanyo PLC-XU115,100,10965 Kreuzberg,"Verkaufe Sanyo PPO xtraX Beamer, Model: Sanyo PLC-XU115, 100 Euro inkl. 19% USt..
Wurde nur für...",https://www.kleinanzeigen.de//s-anzeige/sanyo-plc-xu115-beamer/2604858430-175-3378,May 2008,"4,500 lumens",1024x768 (XGA),500:1,2 cm3LCD,"35, 31",4500,1024,500.0
389,Hitachi Beamer CP-A200,Hitachi CP-A200,150,10587 Charlottenburg,"Kurzdistanzbeamer
selten benutzt
mit Kabel und Fernbedienung
kann noch dazu HDMI/VGA konverter...",https://www.kleinanzeigen.de//s-anzeige/hitachi-beamer-cp-a200/2467635045-175-3346,Mar 2010,"3,000 lumens",1024x768 (XGA),500:1,2 cm3LCD,"35, 28",3000,1024,500.0
430,Panasonic Beamer PT-L720E mit Original Zubehör,Panasonic PT-L720U,49,13585 Spandau,"Panasonic Beamer PT-L720E mit Original Zubehör

Hab ihn jetzt schon länger nicht benutzt da ich ihn...",https://www.kleinanzeigen.de//s-anzeige/panasonic-beamer-pt-l720e-mit-original-zubehoer/2364164974-175-3438,Jul 2002,"2,200 lumens",1024x768 (XGA),400:1,2 cm3LCD,,2200,1024,400.0
257,NEC VT 575 LCD Beamer Top Zustand kaum genutzt,NEC VT575,45,12439 Treptow,"Hallo, nur wenige Stunden genutzter Beamer, mit Tasche, Strom- und VGA-Kabel, Fernbedienung und...",https://www.kleinanzeigen.de//s-anzeige/nec-vt-575-lcd-beamer-top-zustand-kaum-genutzt/2568944350-175-9659,Apr 2005,"1,500 lumens",1024x768 (XGA),400:1,2 cm3LCD,"33, 28",1500,1024,400.0
356,Beamer NEC VT 650,NEC VT650,50,10115 Mitte,"Ich verkaufe den Beamer VT 650 von NEC mit Bedienungsanleitung, Tasche und Fernbedienung. Die...",https://www.kleinanzeigen.de//s-anzeige/beamer-nec-vt-650/2513520941-175-9668,Jan 2002,"1,500 lumens",1024x768 (XGA),400:1,2 cm3LCD,"38, 35",1500,1024,400.0
235,NEC VT570 LCD Beamer Projektor 1300 ANSI,NEC VT570,80,10717 Wilmersdorf,"NEC VT570 LCD Beamer Projektor 1300 ANSI

Mit Fernbedienung, VGA auf VGA Kabel und Adapter VGA auf...",https://www.kleinanzeigen.de//s-anzeige/nec-vt570-lcd-beamer-projektor-1300-ansi/2575372752-175-3539,Jul 2004,"1,300 lumens",1024x768 (XGA),400:1,2 cm3LCD,"33, 28",1300,1024,400.0
4,Sharp XG-NV51XE Beamer,Sharp XG-NV5XB,15,10318 Karlshorst,"Älterer Beamer top Zustand kein DlHDMI Anschluss Versand mit 10,49 möglich",https://www.kleinanzeigen.de//s-anzeige/sharp-xg-nv51xe-beamer/2607918960-175-25917,2000-08-01 00:00:00,"1,000 lumens",1024x768 (XGA),200:1,2 cm3LCD,38,1000,1024,200.0
412,Beamer NEC MultiSync MT820 inkl. Ersatzlampe und Wandhalterung,NEC MultiSync MT820,20,12161 Friedenau,Beamer NEC MultiSync MT820 gebraucht inkl. Ersatzlampe (Restzeit ca. 500h) und Wandhalterung. Die...,https://www.kleinanzeigen.de//s-anzeige/beamer-nec-multisync-mt820-inkl-ersatzlampe-und-wandhalterung/2417508829-175-17084,,700 lumens,800x600 (SVGA),200:1,3 cm3LCD,42,700,800,200.0
223,Beamer BenQ MW536 WXGA mit original Verpackung,BenQ MW536,230,13055 Hohenschönhausen,"Neu preis 460 Euro

Beamer BenQ MW536
WXGA, 4000 lm, 1.55 - 1.86:1

Der MU613 wurde speziell für...",https://www.kleinanzeigen.de//s-anzeige/beamer-benq-mw536-wxga-mit-original-verpackung/2577658859-175-3358,Mar 2021,"4,000 lumens",1280x800 (WXGA),,1 cmDLP,"32, 29",4000,1280,
72,Sony Beamer VPL-VW10HT Heimkino LCD Video Projektor (defekt?),Sony VPL-VW10HT,40,10559 Tiergarten,"Verkaufe einen Sony VPL-VW10HT Heimkino Projektor.
Diesen hatte ich vom Heimkino meines Vaters...",https://www.kleinanzeigen.de//s-anzeige/sony-beamer-vpl-vw10ht-heimkino-lcd-video-projektor-defekt-/2601609322-175-9664,Sep 2000,"1,000 lumens",1366x768 (WXGA),,4 cm3LCD,30,1000,1366,
392,LG PH150G Beamer,LG PH150G,250,12557 Köpenick,"Kleiner Beamer von LG für zu Hause und unterwegs.

Sehr gut erhalten",https://www.kleinanzeigen.de//s-anzeige/lg-ph150g-beamer/2464067746-175-3366,Oct 2016,130 lumens,1280x720 (HD),,LCoS,,130,1280,
